term,aka,explanation,source
,,,
CHI,,"chronic HIV infection. Comprises an asymptomatic period following EHI, characterized by a stable viral load (10^{4,5} copies/ml) and relatively low transmissibility, as well as late infection/AIDS, when viral load and transmissibility are elevated again.",DOI: 10.1371/journal.pmed.1001232
EHI,,early HIV infection. The first 3–6 months after infection. Includes acute HIV infection (AHI).,DOI: 10.1371/journal.pmed.1001232
HIV set point,,"the viral load of a person infected with HIV, which stabilizes after a period of acute HIV infection. The set point is reached after the immune system has developed specific Cytotoxic T cells and begins to attempt to fight the virus. The higher the viral load of the set point, the faster the virus will progress to AIDS; the lower the viral load of the set point, the longer the patient will remain in clinical latency. The only effective way to lower the set point is through highly active antiretroviral therapy. The set point is not completely fixed and constant, but can be quite dynamic with significant fluctuations.",wikipedia
Serology,,"the scientific study of plasma serum and other bodily fluids. In practice, the term usually refers to the diagnostic identification of antibodies in the serum.",wikipedia
Seropositive,,showing positive results on serological examination; showing a high level of antibody.,http://medical-dictionary.thefreedictionary.com
Viremia,,the presence of a virus in the blood.,http://dictionary.reference.com
Virion,,one virus particle.,wikipedia
AHI,,"acute HIV infection the period before the development of antibodies to HIV, when the concentration of virus in the plasma spikes (10^7 copies/ml or more) and then falls to the set-point viral load.",DOI: 10.1371/journal.pmed.1001232
Antigen,,"a substance foreign or toxic to the body (for example, a bacterium) which, once in the body, attracts and is bound to a respective and specific antibody. That is to say, an antigen is molecule that induces an immune response in the body. The term antigen originally came from ANTIbody GENerator.",wikipedia
Antigen-presenting cell,"APC, accessory cell","a cell that displays foreign antigens complexed with major histocompatibility complexes (MHC's) on their surfaces; this process is known as antigen presentation. T-cells may recognize these complexes using their T-cell receptors (TCRs). T cells cannot recognize, and therefore cannot respond to, 'free' antigen. T cells can only 'see' an antigen that has been processed and presented by cells via carrier molecules like MHC and CD1 molecules.",wikipedia
Apoptosis,PCD,programmed cell death,wikipedia
Cytokines,,"a broad and loose category of small proteins (~5–20 kDa) that are important in cell signaling - they are released by cells and affect the behavior of other cells, and sometimes the releasing cell itself. They act through receptors, and are especially important in the immune system.",wikipedia
Cytokine storm,cytokine cascade,"a positive feedback loop between cytokines and immune cells. When the immune system is fighting pathogens, cytokines signal immune cells such as T-cells and macrophages to travel to the site of infection. In addition, cytokines activate those cells, stimulating them to produce more cytokines. Normally, this feedback loop is kept in check by the body. However, in some instances, the reaction becomes uncontrolled, and too many immune cells are activated in a single place. The precise reason for this is not entirely understood but may be caused by an exaggerated response when the immune system encounters a new and highly pathogenic invader. Cytokine storms have potential to do significant damage to body tissues and organs.",wikipedia
Histology,,"the study of the microscopic anatomy of cells and tissues of plants and animals. It is commonly performed by examining cells and tissues by sectioning and staining, followed by examination under a light microscope or electron microscope.",wikipedia
Major histocompatibility complex,MHC,"a set of cell surface molecules which mediate interactions of leukocytes with other leukocytes or body cells. MHC determines compatibility of donors for organ transplant as well as one's susceptibility to an autoimmune disease via crossreacting immunization. In humans, MHC is also called human leukocyte antigen (HLA).",wikipedia
Ramp-up viremia,,a period of sharply increasing viremia.,DOI: 10.1056/NEJMra1011874
Percutaneous,,"effected, occurring, or performed through the skin",merriam-webster.com
T cell,T lymphocyte,"a type of lymphocyte (itself a type of white blood cell) that play a central role in cell-mediated immunity. They are called T cells because they mature in the thymus. Can be distinguished from other lymphocytes, such as B cells and natural killer cells (NK cells), by the presence of a T-cell receptor (TCR) on the cell surface.",wikipedia
HAART,,highly active antiretroviral therapy: the use of multiple drugs that act on different viral targets.,wikipedia
Dendritic cells,,"Antigen-presenting cells that are present in those tissues that are in contact with the external environment, such as the skin and the inner lining of the nose, lungs, stomach and intestines. They can also be found in an immature state in the blood. Once activated, they migrate to the lymph nodes where they interact with T cells and B cells to initiate and shape the adaptive immune response.",wikipedia
Langerhans cell,,a specialized dendritic cell in the skin,wikipedia
Cytotoxicity,,the quality of being toxic to cells,wikipedia
Natural Killer cells,NK cells,"a type of cytotoxic lymphocyte to recognize streable ssed cells in the absence of antibodies and MHC, allowing for a much faster immune reaction.",wikipedia
In vitro,,(Latin: in glass) Describes studies that are conducted using components of an organism that have been isolated from their usual biological surroundings in order to permit a more detailed or more convenient analysis than can be done with whole organisms.,wikipedia
in vivo,,(Latin: within the living) Describes studies that are conducted with living organisms in their normal intact state.,wikipedia
ex vivo,,(Latin: out of the living) Describes studies that are done on tissue/organs extracted from an organism with the minimum alteration of natural conditions,wikipedia
viral escape,,avoidance of the immune system by a virus,shmoop.com
mucosa,,mucous membrane,wikipedia
epitope,,The part of an antigen that is recognized by the immune system. a.ka. Antigenic determinant. The part of an antibody that recognizes the epitope is called a paratope.,wikipedia
Seroconversion,,"the development of detectable specific antibodies to microorganisms in the blood serum as a result of infection or immunization. Before the seroconversion point, the antigen is prevalent and the corresponding antibody is not detectable in sera. After seroconversion, the antibody becomes prevalent and the corresponding antigen is no longer detectable in sera. Antigen-antibody complexes (immune complexes) formed in an organism are quickly removed by several immune mechanisms, so only the dominant party of an immune complex is detectable in blood sera.",wikipedia
prophylaxis,,treatment given or action taken to prevent (rather than treat) disease.,Google itself
hyperendemic,,exhibiting a high and continued incidence,merriam-webster.com/medical
antenatal,,Occurring before birth; prenatal,thefreedictionary.com
ANC,,antenatal clinic,n/a
prevalence,,the proportion of a population found to have a condition,wikipedia
Incidence proportion,,the number of new cases within a specified time period divided by the size of the population initially at risk. Aka cumulative incidence.,wikipedia
Index case,,The earliest infected individual who goes on to infect other individuals in the sample of cases that are being examined.,doi:10.1038/nrmicro1845
Offspring distribution,,The probability distribution for the number of secondary infections generated by a single infected individual.,doi:10.1038/nrmicro1845
morbidity,,"the incidence of disease, the rate of sickness",merriam-webster.com/medical
Satiation,,the process of becoming full / satisfied by one's comsumption (e.g. of food),Chris Wymant
lentivirus,,"a genus of viruses of the Retroviridae family, characterized by a long incubation period. Lentiviruses can deliver a significant amount of viral RNA into the DNA of the host cell and have the unique ability among retroviruses of being able to infect non-dividing cells",wikipedia
extant,,"still alive, not extinct",wiktionary
clade,"monophylum, monophyletic taxon","A group composed of a collection of organisms, including the most recent common ancestor of all those organisms and all the descendants of that most recent common ancestor.",http://www.ucmp.berkeley.edu/glossary/
Paraphyletic taxon,,"A group composed of a collection of organisms, including the most recent common ancestor of all those organisms. Unlike a monophyletic group, a paraphyletic taxon does not include all the descendants of the most recent common ancestor.",http://www.ucmp.berkeley.edu/glossary/
Polyphyletic taxon,,"A group composed of a collection of organisms in which the most recent common ancestor of all the included organisms is not included, usually because the common ancestor lacks the characteristics of the group.",http://www.ucmp.berkeley.edu/glossary/
